0.543291,0.728951,0.016881
0.330339,0.368722,0.048304
0.104530,0.097438,0.245403
0.873489,0.051612,0.060481
0.238740,0.203699,0.174534
0.415350,0.941738,0.466915
0.959978,0.999814,0.726317
0.484229,0.126861,0.105405
0.042266,0.244131,0.071517
0.995568,0.201326,0.882451
0.245227,0.115434,0.592202
0.708262,0.130289,0.118507
0.003721,0.569425,0.481840
0.341163,0.264718,0.347718
0.920715,0.983162,0.976486
0.042755,0.808018,0.866689
0.517983,0.715319,0.190548
0.643628,0.546687,0.559584
0.193267,0.324460,0.181905
0.617393,0.287938,0.134363
0.326771,0.178520,0.417330
0.376549,0.456134,0.244862
0.704969,0.119836,0.318947
0.777626,0.064396,0.994941
0.093421,0.764512,0.154718
0.557474,0.583331,0.558294
0.722588,0.698426,0.068049
0.591908,0.699811,0.617643
0.728178,0.186213,0.089812
0.398810,0.233131,0.765922
0.422825,0.801325,0.425200
0.518275,0.461082,0.479880
0.140446,0.766192,0.883264
0.854843,0.919701,0.195290
0.926873,0.356219,0.088378
0.834669,0.096790,0.046876
0.691533,0.926283,0.321999
0.984757,0.585674,0.846703
0.025033,0.174745,0.791186
0.119176,0.902008,0.803539
0.459768,0.735637,0.299713
0.283102,0.304326,0.707311
0.666003,0.479474,0.136241
0.881547,0.885797,0.728114
0.044599,0.762794,0.591293
0.501126,0.082550,0.567183
0.728634,0.091435,0.498963
0.357754,0.992520,0.207255
0.152362,0.679689,0.421094
0.714571,0.671672,0.761590
0.288775,0.833454,0.262926
0.923227,0.345156,0.274593
0.067430,0.633425,0.076720
0.087763,0.749851,0.564474
0.192302,0.731485,0.056278
0.460181,0.018789,0.031981
0.720207,0.059793,0.474387
0.786404,0.078873,0.773905
0.410396,0.481091,0.632439
0.704451,0.643488,0.057658
0.454328,0.304221,0.913018
0.617659,0.282231,0.149947
0.791641,0.917196,0.248000
0.458905,0.167725,0.737236
0.636451,0.210306,0.718764
0.327409,0.025911,0.358045
0.067678,0.046173,0.745631
0.541062,0.950079,0.341032
0.972660,0.747140,0.401444
0.803081,0.878513,0.010110
0.466659,0.559699,0.548546
0.892146,0.639336,0.088082
0.955141,0.188377,0.502886
0.975765,0.878981,0.741103
0.000727,0.833623,0.848237
0.450375,0.735413,0.081130
0.224031,0.585248,0.158942
0.997073,0.636160,0.793841
0.110871,0.123269,0.706694
0.488283,0.847575,0.401727
0.041486,0.570431,0.161473
0.303381,0.926659,0.063855
0.182212,0.858102,0.387812
0.260162,0.984042,0.690454
0.274141,0.809561,0.867590
0.211516,0.484659,0.053040
0.395459,0.470730,0.222342
0.861589,0.544289,0.716498
0.505473,0.512058,0.370770
0.758642,0.412738,0.714988
0.740304,0.694845,0.601500
0.446792,0.745392,0.190988
0.038433,0.836058,0.626914
0.411562,0.512817,0.809100
0.660026,0.531059,0.248670
0.133430,0.495151,0.706977
0.196531,0.226660,0.476786
0.061602,0.638663,0.416640
0.831148,0.865919,0.551072
0.853488,0.891023,0.582058
